Publication Year,Title,Keywords,Stakeholder,Country
2025,Using Deep Learning to Optimize the Allocation of Rural Education Resources Under the Background of Rural Revitalization,"Rural Revitalization, Deep Learning, Rural Education Resources, Resource Allocation Optimization, Educational Equity",government,China
2022,Research on the Model of Balanced Development of Compulsory Education and Difficult Problems of Rural Education Based on a Deep Learning Algorithm,,government,China
2018,Development of a Software Package Designed to Support Distance Education for Disabled People,"recognition; sign language, communication, smart education, kNN, SVM, logistic regression",student,Russia
2025,Metaverse Technology to Empower Students Literacy Rate Using Modern Educational Resources in Kanchipuram District,"Online education, Metaverse, Digital divide, LoRaWAN, 5G, Duolingo, Gesture-based authentication systems",government,India
2025,Integrating AI and Fuzzy Systems to Enhance Education Equity,"Fuzzy-Based Framework, Resource Allocation, Quality of Education, Sustainable Development Goal 4 (SDG 4), Equity in Education, Fuzzy Rule-Based Systems (FRBS), Fuzzy Cognitive Maps (FCM), Fuzzy Multi-Criteria Decision-Making (Fuzzy MCDM), Data-Driven Decision-Making, Educational Policy, Underserved Schools",government,Jordan
2024,BuddyBot: AI Powered Chatbot for Enhancing English Language Learning,"English Language Learning, Artificial Intelligence Chatbot, OpenAI GPT-2, Google Flan-T5, Natural Language Processing (NLP), SDG4",student,India
2024,Implementation of an NLP-Driven Chatbot and ML Algorithms for Career Counseling,"AI, Chatbot, Career System, NLP, Machine Learning",student,India
2025,Inclusive Deaf Education Enabled by Artificial Intelligence: The Path to a Solution,"AI-enabled Inclusive Deaf Education,  AI in Education, AI for Marginalised Populations, AI in the Global South, AI for Education in the Global South",student,Jamaica
2024,"A Comprehensive Mobile Platform for Fostering Communication, Literacy, Numeracy, and Emotion Understanding in Children with ASD","SIPNENA, Autism Spectrum Disorder, Mobile Learning, Rural education, Child development, Educational Technology",student,Sri Lanka
2023,Extending the Relative Approach toward Teaching Effectiveness for Studying and Predicting Educational Equity Gaps,"teaching effectiveness modeling and predication involving equity gaps, applied machine learning, equity gaps in COVID-19",government,USA
2025,Research on Educational Equity Evaluation and Optimization Strategy Based on Computer Algorithm,"computer algorithm, educational equity evaluation, optimization strategy, evaluation model",government,Australia
2024,Adaptive Interventions Reducing Social Identity Threat to Increase Equity in Higher Distance Education: A Use Case and Ethical Considerations on Algorithmic Fairness,"Algorithmic fairness, higher education, student diversity, social identity threat, non-traditional students",government,Germany
